Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share
1827,Vodafone India,New Delhi,15:12:15.711889,2019-12-20T09:41:23.593479Z,4.546904671900945,16.793,21,83,
1827,Vodafone India,New Delhi,15:19:26.081704,2019-12-20T09:48:28.838298Z,4.546904671900945,47.547,9,41,
1827,Vodafone India,New Delhi,15:21:59.581296,2019-12-20T09:50:56.089835Z,4.546904671900945,20.742,8,71,
